code,neighborhood,sampl
205320,EL REMANSO,7
004511,CIUDAD KENNEDY CENTRAL,0
201502,SIBERIA RURAL,8
006302,CAPELLANIA,10
008419,ESCUELA DE CABALLERIA II,3
002599,CENTRO USME URBANO,8
102911,CURUBITAL,2
006204,ESTACION CENTRAL,7
102118,LAS VIOLETAS RURAL,9
004512,TIMIZA,6
007407,LA AURORA,0
005673,PUEBLO VIEJO,0
001353,GUACAMAYAS IV,4
004103,VOTO NACIONAL,6
005670,LA RIVIERA,1
208101,PARAMO IV,1
009208,COSTA AZUL,10
006529,EL VERGEL ORIENTAL,2
004503,PROVIVIENDA ORIENTAL,10
102115,LA UNION,10
004408,TEJAR,1
104104,PASQUILLA,5
006208,ORTEZAL,7
005607,SAN IGNACIO,5
004527,NUEVA GRANADA BOSA,8
005619,PARIS,6
101405,PARQUE NACIONAL ORIENTAL,3
005631,CIUDAD BACHUE I ETAPA,0
004308,COLON,2
205316,VILLA EMMA,5
002620,EL NUEVO PORTAL II,7
002101,LA FRAGUITA,3
005660,SAN ANTONIO URBANO,6
005620,FLORENCIA,7
005505,BOSQUE POPULAR,8
004531,MANDALAY,3
104107,BELLA FLOR SUR RURAL,10
005507,NORMANDIA,9
008309,LA CABRERA,0
101101,EL BAGAZAL,1
006419,EL REFUGIO,7
007307,MUEQUETA,0
006527,INTERINDUSTRIAL,4
104112,SANTA ROSA,4
104108,LAS MERCEDES,5
102808,LA REGADERA,6
104113,SANTA BARBARA,3
102112,EL HATO,7
102909,SAN BENITO,4
102910,ARRAYAN,3
005404,LAS FERIAS,4
008315,CHICO NORTE III SECTOR,7
009201,LOS NARANJOS,8
102310,EL BOSQUE SUR ORIENTAL RURAL I,4
004305,LA PRADERA,10
005202,DOCE DE OCTUBRE,2
005206,LA LIBERTAD,7
101301,HOYA SAN CRISTOBAL,0
005658,VILLA SAGRARIO,8
105402,CHARCO RURAL,10
009232,SABANA DE TIBABUYES,8
001320,NUEVA GLORIA,3
001329,EL PARAISO,10
006215,PUENTE ARANDA,3
006306,GRANJAS DE TECHO,1
004537,CASABLANCA,5
004564,TAIRONA,8
004615,OSORIO XII,4
009239,LAS MERCEDES SUBA,4
004541,EL PARAISO BOSA,4
009250,TIBABUYES OCCIDENTAL,1
004317,LA CAMELIA II,8
004212,TIBANA,5
009140,NUESTRA SENORA DEL ROSARIO,6
009138,CASABLANCA SUBA URBANO I,9
002209,QUIROGA I,2
008524,LA GRANJA NORTE,0
006511,LA PAMPA,3
001108,SAN CRISTOBAL SUR,8
005609,TABORA,10
007205,PALERMO,0
107111,CASABLANCA SUBA II,9
002202,QUIROGA,5
002508,TUNJUELITO,7
001418,MARRUECOS,0
008105,LA MACARENA,8
003107,SANTA INES,2
004208,LOS EJIDOS,10
108104,PARAMO,2
202404,SAN FELIPE DE USME RURAL,1
003101,LA ALAMEDA,9
008523,SAN ANTONIO NORTE,1
002598,EL MOCHUELO II URBANO,0
103201,BETANIA,5
008101,SAGRADO CORAZON,0
004209,SANTA MATILDE,3
008528,SAN ANTONIO NOROCCIDENTAL,9
108112,PARAMO II RURAL,1
001417,LOS MOLINOS,0
004569,JOSE ANTONIO GALAN,2
008529,SAN JOSE DE USAQUEN,5
101103,INGEMAR ORIENTAL RURAL,0
007104,TEUSAQUILLO,5
202506,EL NUEVO PORTAL II RURAL,6
201404,LA PEÃ‘A RURAL,8
004592,SAN MARTIN,10
004407,ALCALA,7
008539,TORCA I,4
004105,EDUARDO SANTOS,3
008313,LAGO GAITAN,2
005503,BELLAVISTA OCCIDENTAL,6
003109,VERACRUZ,8
109106,LA UNION,0
006410,CENTRO FONTIBON,10
004548,TECHO,10
001405,VEINTE DE JULIO,6
101306,TIBAQUE,7
103106,NAZARETH,0
008501,EL TOBERIN,10
103105,LAS AURAS,4
002505,NUEVO SAN ANDRES,3
103204,LAGUNA VERDE,4
002572,SALAZAR USME,7
007207,GALERIAS,7
002555,SAN JUAN BAUTISTA,6
008522,EL ROCIO NORTE,3
007311,SIETE DE AGOSTO,7
007303,COLOMBIA,7
006315,LA ESPERANZA SUR,2
004508,CIUDAD KENNEDY OCCIDENTAL,7
001423,ARBOLEDA SUR,2
004609,LOS ALMENDROS,4
004613,PROVIVIENDA OCCIDENTAL,5
002510,LA PICOTA ORIENTAL,3
204106,NUEVA ESPERANZA,4
204107,EL MIRADOR II,7
103102,TAQUECITOS,10
109105,SANTO DOMINGO,1
108101,TORCA RURAL I,1
107101,GUAYMARAL,6
006504,BAVARIA,5
004574,CHARLES DE GAULLE,5
109112,CAPITOLIO,2
109113,LAGUNITAS,8
109107,CHORRERAS,3
109103,LAS VEGAS,2
104128,EL MOCHUELO III,6
109101,EL TOLDO,2
109102,SAN ANTONIO,8
007304,CONCEPCION NORTE,4
102110,EL PORVENIR DE LOS SOCHES,4
005107,ACEVEDO TEJADA,2
002522,EL MOCHUELO ORIENTAL,7
004619,CHUCUA DE LA VACA III,7
205308,CANAVERALEJO RURAL,9
004591,EL PORTAL DEL BRASIL,8
004638,CIUDADELA EL RECREO II,2
004641,LA INDEPENDENCIA,6
008212,MARLY,2
002440,SIERRA MORENA,1
101309,LA ARBOLEDA RURAL,6
105314,EL CORZO RURAL,5
009209,VILLA MARIA,2
009131,SANTA HELENA,6
008525,LA URIBE,0
009119,ATENAS,10
009104,VICTORIA NORTE,1
102113,LAS MARGARITAS,2
002596,MOCHUELO ALTO,4
104129,EL MOCHUELO II,2
109111,SAN JOSE,6
109116,NUEVA GRANADA,3
109110,CONCEPCION,3
004576,CASA BLANCA SUR,5
009260,ALTOS DE SUBA,6
005615,LA SOLEDAD NORTE,9
008109,SAN MARTIN,3
001401,SAN JOSE SUR,10
001207,NARINO SUR,2
204128,QUIBA RURAL,6
006105,SAN VICTORINO,7
004524,SAN PABLO BOSA,10
009216,LA GAITANA,5
005508,LA CABANA,7
002609,EL BOSQUE,5
006509,LUSITANIA,7
004554,PATIO BONITO,2
009241,BOSQUES DE SAN JORGE,3
002542,SERRANIAS,10
009267,VILLA MARIA I,5
002571,ANTONIO JOSE DE SUCRE,10
004101,RICAURTE,5
004302,SAN RAFAEL,4
002418,LA ESTANCIA,6
208107,LA ESPERANZA,6
002307,INGLES,0
002636,LA HUERTA,5
004402,REMANSO,6
002447,EL MIRADOR DE LA ESTANCIA,4
108108,PARAMO II,5
008517,LA LIBERIA,1
201309,TIBAQUE II,4
005635,EL MADRIGAL,0
008413,SANTA BARBARA ORIENTAL,4
004588,EL DANUBIO AZUL,10
004405,OSPINA PEREZ SUR,0
002556,DESARROLLO BRAZUELOS I,10
002201,OLAYA,3
008541,TORCA II,4
108110,TORCA RURAL II,9
002569,ARBORIZADORA ALTA,9
006534,EL TINTAL IV,5
009203,PUERTA DEL SOL,6
005105,CAMPIN OCCIDENTAL,3
004534,ROMA,9
009142,CONEJERA,0
201105,EL REFUGIO I,8
006407,GUADUAL FONTIBON,9
007402,JUAN XXIII,4
008310,EL RETIRO,9
008510,ACACIAS USAQUEN,3
009223,TTES DE COLOMBIA,4
008411,RINCON DEL CHICO,0
006416,ATAHUALPA,7
109109,TUNAL ALTO,1
006106,EL LISTON,2
107109,BARAJAS NORTE,4
004207,GORGONZOLA,5
102602,CENTRO USME RURAL I,4
008417,SANTA BARBARA OCCIDENTAL,8
006311,MODELIA,0
002550,DUITAMA,4
004570,ANTONIA SANTOS,7
005684,QUIRIGUA II,6
002533,SOTAVENTO,3
004516,BOITA,0
004205,PRIMAVERA OCCIDENTAL,0
004413,AUTOPISTA MUZU ORIENTAL,5
002308,CLARET,3
002424,RINCON DE GALICIA,4
002528,SANTA LIBRADA NORTE,3
008214,CHAPINERO NORTE,8
005103,SAN MIGUEL,5
002634,EL TUNO,6
002438,SIERRA MORENA,7
002577,DANUBIO II,1
005655,GARCES NAVAS SUR,8
004109,VERAGUAS,9
004630,PARCELA EL PORVENIR,3
202502,EL UVAL,4
208110,SAN LUIS ALTOS DEL CABO RURAL,6
002410,PARQUE EL TUNAL,5
002311,VILLA MAYOR,0
002304,SANTIAGO PEREZ,7
007404,ALCAZARES NORTE,2
007301,LA MERCED NORTE,4
205401,EL CHANCO II,0
005207,METROPOLIS,1
004582,RENANIA URAPANES,1
008515,LOS CEDROS,5
006203,LA FLORIDA OCCIDENTAL,7
004559,EL CARMELO,0
007209,ALFONSO LOPEZ,7
002421,RAFAEL ESCAMILLA,8
004525,PASTRANA,5
008518,CAOBOS SALAZAR,3
002594,VILLA ISRAEL,0
005648,VILLA AMALIA,4
005639,QUIRIGUA ORIENTAL,1
004406,OSPINA PEREZ,2
105103,SAN PEDRO,2
009220,LAGO DE SUBA,5
006404,PUERTA DE TEJA,10
005306,ENTRERIOS,1
004509,CIUDAD KENNEDY,8
102506,PORTAL RURAL II,1
002622,TOCAIMITA ORIENTAL I,1
204304,LAGUNITAS,6
008215,INGEMAR,4
009134,SAN JOSE V SECTOR,7
004550,JOSE MARIA CARBONEL,6
002575,CERRO COLORADO,9
001318,QUINDIO,0
005612,PARIS GAITAN,2
005608,SANTA HELENITA,7
005625,LOS ALAMOS,7
005638,SANTA CECILIA,9
005636,ENGATIVA ZONA URBANA,2
006533,EL TINTAL III,5
009210,LAS FLORES,4
009114,GILMAR,4
009253,SAN PEDRO,4
009225,TIBABUYES UNIVERSAL,7
006503,VISION DE ORIENTE,8
008106,BOSQUE IZQUIERDO,4
007308,QUINTA MUTIS,6
204129,EL MOCHUELO II NORTE,6
105105,VEREDA EL TINTAL RURAL,9
004409,ALQUERIA,8
002507,ABRAHAM LINCOLN,8
002610,CHAPINERITO,6
009133,MIRANDELA,8
205101,VEREDA EL TINTAL URBANO,0
004505,PROVIVIENDA OCCIDENTAL,4
001427,PUERTO RICO,10
105203,OSORIO II,6
004555,PATIO BONITO II,0
002602,FISCALA ALTA,6
004521,LA ESTACION BOSA,10
004545,CATALINA,2
008415,SANTA BARBARA CENTRAL,1
004579,ESCOCIA,1
005401,POTOSI,5
005680,VILLA DEL MAR,0
004519,ESCOCIA,3
004546,VILLA DEL RIO,5
008304,LOS ROSALES,8
007103,LA MAGDALENA,6
005406,BONANZA,2
006201,EL RECUERDO,4
006521,SABANA GRANDE,3
007406,SANTA SOFIA,2
006415,LA LAGUNA FONTIBON,6
006423,EL TINTAL CENTRAL,5
001432,DIANA TURBAY CULTIVOS,8
008303,EL REFUGIO,7
008410,ESCUELA DE INFANTERIA,7
001115,MONTE CARLO,8
005663,EL DORADO INDUSTRIAL,6
201108,EL REFUGIO II,9
004587,LOS SAUCES,6
001104,MOLINOS DE ORIENTE,7
002534,CASA DE TEJA,8
002558,VILLAS EL DIAMANTE,6
005304,LA CASTELLANA,7
105401,EL CHANCO RURAL II,3
008409,ESCUELA DE CABALLERIA I,10
002637,ARRAYANES VI,9
006531,CIUDAD TECHO II,7
005683,QUIRIGUA I,0
005308,RIONEGRO,9
205221,GALAN RURAL,6
004598,VILLA ANNY I,0
002548,EL VIRREY,3
003207,LOS LACHES,1
007101,LA SOLEDAD,2
009207,VILLA ELISA,1
004599,VILLA ANNY II,4
004597,SAN BERNARDINO I,7
205102,VEREDA EL TINTAL,9
002619,VILLA ANITA,7
001306,SAN PEDRO,2
001110,SAN JAVIER,5
005102,POPULAR MODELO,2
008418,SAN PATRICIO,5
008506,BARRANCAS NORTE,0
009206,AURES II,1
001203,CARACAS,4
004607,CIUDAD DE CALI,7
005601,EL MINUTO DE DIOS,4
001106,SAN BLAS,1
001111,SANTA ANA SUR,6
202203,BOLONIA I,1
001434,CARMEN DEL SOL,10
001317,PUENTE COLORADO,3
005117,RAFAEL NUNEZ,1
009265,VEREDA SUBA CERROS II,9
002545,EL SATELITE,3
002627,LA REFORMA,5
004612,DINDALITO,8
004626,LAS ACACIAS,1
002625,ARRAYANES V,10
004601,CALANDAIMA,5
001107,LAS MERCEDES,8
002437,LA PRADERA,3
002544,LOS LAURELES II,9
009213,EL PINO,2
004614,DINDALITO,8
002461,ARBORIZADORA ALTA II,8
008211,JUAN XXIII,8
008206,LA SALLE,10
004596,ALQUERIA LA FRAGUA II,10
004542,ALQUERIA LA FRAGUA NORTE,0
004567,VILLAS DEL PROGRESO,5
009219,CAMPANELLA,0
002509,SAN BENITO,7
001357,SANTA INES SUR II,7
209104,SAN JUAN URBANO,3
002541,GRANADA SUR,1
002593,TUNJUELITO,6
005405,LAS FERIAS OCCIDENTAL,2
001319,LA GLORIA ORIENTAL,8
008213,CHAPINERO CENTRAL,0
006217,CIUDAD SALITRE SUR-ORIENTAL,5
005108,CIUDAD UNIVERSITARIA,0
105318,SAN BERNARDINO XVIII,7
008513,LISBOA,6
009102,BRITALIA,0
002536,MONTEBLANCO,3
107110,CASABLANCA SUBA I,3
008544,CANAIMA,4
108102,TIBABITA RURAL,1
107107,LAS MERCEDES SUBA RURAL,0
004528,PASO ANCHO,6
002584,EL MOCHUELO,7
004544,LAS DELICIAS,3
004618,DINTALITO,2
002513,LAS ACACIAS,3
001204,CIUDAD JARDIN SUR,10
009101,GRANADA NORTE,0
009252,BILBAO,5
009251,SAN CARLOS DE SUBA,3
006506,CASTILLA,4
008537,VERBENAL SAN ANTONIO,10
001350,YOMASA,10
002560,BELLAVISTA LUCERO ALTO,2
001408,VILLA DE LOS ALPES,8
005603,BOYACA,3
001421,DIANA TURBAY,10
004526,BOSA NOVA,1
009247,IRAGUA,2
001103,VITELMA,10
001304,BELLO HORIZONTE,7
001416,SAN AGUSTIN,0
001430,VILLA DE LOS ALPES I,2
007202,SAN LUIS,4
005668,VILLAS DE ALCALA,8
001109,LA MARIA,0
009231,SUBA CERROS,3
006514,VERGEL OCCIDENTAL,1
006508,LAS DOS AVENIDAS,1
102604,LA REQUILINA RURAL II,7
004538,OLARTE,4
004543,ALQUERIA LA FRAGUA,4
004603,EL PARAISO,1
004517,JACQUELINE,2
002456,QUIBA I,1
009136,CASABLANCA SUBA URBANO,1
009135,PORTALES DEL NORTE,0
006109,COLSEGUROS,10
102116,CHISACA,8
009126,ESTORIL,6
008107,SAN DIEGO,9
004620,CHUCUA DE LA VACA II,3
004202,COMUNEROS,6
004578,VILLA NELLY III SECTOR,10
008317,SAN ISIDRO,2
004520,LA PAZ BOSA,6
005204,SAN FERNANDO OCCIDENTAL,4
002546,NACIONES UNIDAS,10
004310,PROVIVIENDA NORTE,2
002309,VILLA MAYOR ORIENTAL,8
004604,BRASILIA,2
001322,SAN RAFAEL USME,4
004589,SAN PEDRO,9
002502,MILLAN,9
005630,CIUDAD BACHUE,0
001337,SAN PEDRO SUR,5
008547,LA ESTRELLITA III,10
008425,GINEBRA II,7
104127,EL MOCHUELO IV,6
009214,TUNA ALTA,6
004108,SANTA ISABEL,3
005649,VILLAS DE GRANADA I,10
004562,LLANO GRANDE,10
006104,LA FAVORITA,0
004303,BARCELONA,1
004412,REMANSO SUR,1
003106,CENTRO ADMINISTRATIVO,0
002588,EL MOCHUELO III URBANO,3
004515,TUNDAMA,10
006211,CUNDINAMARCA,5
001355,LAS GUACAMAYAS I,6
007206,BELALCAZAR,3
004201,PENSILVANIA,8
008426,SAN GABRIEL NORTE II,0
009129,VILLA DEL PRADO,7
004623,SAN BERNARDINO POTRERITOS,4
205322,CAMPO VERDE,5
008526,EL VERVENAL,10
008407,USAQUEN,9
004611,EL JAZMIN,10
001402,GUSTAVO RESTREPO,5
001330,CANADA O GUIRA,5
002411,ISLA DEL SOL,9
002612,LA COMUNA,6
008201,QUINTA CAMACHO,6
006207,BATALLON CALDAS,3
001307,RAMAJAL,1
009120,NUEVA ZELANDIA,2
101302,MOLINO RURAL,10
008207,BOSQUE CALDERON,2
001321,SAN MARTIN SUR,3
001346,CIUDAD LONDRES I,6
009130,CANODROMO,6
002504,COMPARTIR,3
002540,ESTRELLA DEL SUR,9
001333,ALTOS DEL POBLADO,5
006216,CIUDAD SALITRE NOR-ORIENTAL,6
003208,EL ROCIO,9
001332,VILLABEL,5
105210,OSORIO X,2
002611,CHARALA,7
006405,FERROCAJA FONTIBON,4
004580,BOSA NOVA EL PORVENIR,8
004539,GRAN COLOMBIANO,7
002628,EL BOSQUE SUR ORIENTAL,7
003209,EL DORADO,0
002631,EL NEVADO,2
006107,PALOQUEMAO,9
008108,SAMPER,10
007105,ARMENIA,1
001311,LA GLORIA OCCIDENTAL,0
002551,ALASKA,10
006316,BOSQUE DE MODELIA,6
005624,AEROPUERTO EL DORADO,2
004621,CHUCUA DE LA VACA I,7
006414,BRISAS ALDEA FONTIBON,1
008302,SEMINARIO,1
006515,VALLADOLID,3
001412,GRANJAS SAN PABLO,1
008218,INGEMAR ORIENTAL,4
008208,PARDO RUBIO,0
009266,RINCON ALTAMAR,8
005644,BOCHICA II,2
004584,SANTA CATALINA,2
002554,GIBRALTAR SUR,1
001403,HOSPITAL SAN CARLOS,10
002435,EL CHIRCAL SUR,1
001410,MARCO FIDEL SUAREZ,4
002503,LA AURORA,4
008416,MOLINOS NORTE,9
009233,TIBABUYES,7
001422,DIANA TURBAY ARRAYANES,3
009127,ANDES NORTE,5
007305,LA ESPERANZA,2
008319,EL BAGAZAL,2
007309,BENJAMIN HERRERA,7
104130,BRAZUELOS OCCIDENTAL RURAL,6
006413,SAN PABLO JERICO,4
009107,PRADO VERANIEGO,9
006308,FRANCO,5
002563,EL PEDREGAL,8
008114,PARQUE NACIONAL URBANO,4
002566,LA PAZ,5
002407,EL CARMEN,9
008111,CATALUNA,0
006101,FLORIDA,7
002559,LOS ALPES SUR,10
004307,SAN GABRIEL,0
008102,PARQUE NACIONAL,1
006205,INDUSTRIAL CENTENARIO,1
006512,VILLA ALSACIA,7
001211,POLICARPA,10
002436,BELLAVISTA,3
002408,FATIMA,6
006502,MARSELLA,2
002531,CANDELARIA LA NUEVA,4
002521,LUCERO ALTO,2
002516,MEXICO,4
002635,BRISAS DEL LLANO,3
002416,EL ENSUENO,2
005403,JULIO FLOREZ,7
208111,SAN ISIDRO RURAL,0
001328,SANTA RITA SUR ORIENTAL,3
007204,QUESADA,10
004558,CAMPO HERMOSO,9
002520,LAS MANAS,7
004605,CHICALA,8
002565,PARAISO QUIBA,2
002511,LA PICOTA,0
205209,EL JAZMIN,6
009226,SALITRE SUBA,9
009245,PINOS DE LOMBARDIA,6
002538,USMINIA,7
009234,SABANA DE TIBABUYES NORTE,8
001315,ALTAMIRA,9
009261,TUNA,10
009215,CASABLANCA SUBA,8
009217,RINCON DE SANTA INES,4
005116,PABLO VI NORTE,2
003211,GIRARDOT,9
002581,LA TORRE,0
003201,SAN BERNARDINO,2
002204,QUIROGA SUR,0
004634,CANAVERALEJO,2
004106,EL VERGEL,9
001205,SOCIEGO,9
002573,ARBORIZADORA ALTA,10
004628,BETANIA,1
001342,ALTOS DEL ZIPA,3
001414,MOLINOS DEL SUR,10
001404,SOSIEGO SUR,5
004624,LA VEGA SAN BERNARDINO,9
002530,QUIBA,6
004632,LA CABANA,7
002592,DESARROLLO BRAZUELOS,10
002460,ARBORIZADORA ALTA I,5
009123,NIZA NORTE,0
002523,LA ALAMEDA,4
002517,LUCERO DEL SUR,7
004593,LA LIBERTAD,5
001314,SAN JOSE SUR ORIENTAL,0
007107,LAS AMERICAS,6
008112,SUCRE,1
006210,CENTRO NARINO,0
001313,BELLAVISTA SUR,10
008535,BUENAVISTA,7
002589,PORVENIR,6
009122,LAS VILLAS,7
009113,SAN JOSE DE BAVARIA,9
008521,TIBABITA,2
008542,TIBABITA I,6
008527,EL CEREZO,7
006218,CENTRO INDUSTRIAL,8
005666,LA FAENA,7
001420,EL PLAYON,10
004635,SAN BERNARDINO II,0
001308,SANTA INES SUR,3
002553,SUMAPAZ,7
002539,SAN RAFAEL,0
004568,JORGE URIBE BOTERO,10
002549,VILLA GLORIA,7
002525,BARRANQUILLITA,0
103104,LAS ANIMAS,7
103109,LAS SOPAS,6
001419,CALLEJON SANTA BARBARA,8
004625,EL REMANSO I,1
001348,LA CABANA,6
004316,LAS MARGARITAS,0
004627,GALAN,9
004631,EL CORZO,2
105223,OSORIO XXIII,10
004622,BRASIL,0
004637,LAS MARGARITAS,8
004642,ISLANDIA,9
004594,SAN ANTONIO,7
004633,SANTA FE BOSA,1
006518,OSORIO III,10
004551,HIPOTECHO SUR,5
203106,NAZARETH URBANO,3
004643,EL CORZO I,7
004502,HIPOTECHO OCCIDENTAL,7
001431,LA RESURRECCION I,7
006516,TINTALA,8
008220,SIBERIA CENTRAL,3
009227,LECH WALESA,2
004573,CIUDADELA EL RECREO,7
008412,SANTA BIBIANA,5
004602,REMANSO URBANO,6
009211,EL POA,8
005647,VILLAS DE GRANADA,9
002590,LA FISCALA,7
009262,LA GAITANA ORIENTAL,0
009132,ESCUELA DE CARABINEROS,9
205318,SAN BERNARDINO XVIII,1
001113,SAN BLAS II,1
004577,SAN BERNARDINO XXII URBANO,7
009128,EL PLAN,8
002552,JUAN PABLO II,3
009103,CANTAGALLO,1
002512,AREA ARTILLERIA,6
105325,SAN BERNARDINO XXV,4
008503,SANTA TERESA,9
009244,VILLA HERMOSA,3
004590,SAN BERNARDINO XXV URBANO,3
208203,LA ESTRELLITA,5
101307,TIHUAQUE RURAL,4
008202,EMAUS,1
008511,CEDRO NARVAEZ,3
008502,LA PRADERA NORTE,7
009235,CIUDAD HUNZA,6
005654,GRAN GRANADA,4
008509,LOS CEDROS ORIENTAL,0
108111,TIBABITA RURAL I,5
008536,BOSQUE DE PINOS I,9
201305,LOS LAURELES I,2
002445,CARACOLI,2
008414,SANTA ANA OCCIDENTAL,2
002426,SANTO DOMINGO,2
009204,EL RINCON NORTE,6
006103,SANTA FE,2
004552,GUALOCHE,4
003203,SANTA BARBARA,7
005637,VILLA GLADYS,6
004547,CORABASTOS,2
005634,EL CORTIJO,3
002633,LAS VIOLETAS,5
006519,MORAVIA,7
004203,LA ASUNCION,6
003212,LOURDES,1
005643,ALAMOS,8
002449,ESPINO I,4
008508,CEDRO SALAZAR,9
005623,LOS ANGELES,6
004522,BOSA,6
009237,RINCON DE SUBA,8
003206,LA PENA,9
008104,LA PERSEVERANCIA,4
004110,LA PEPITA,0
002514,MEISSEN,5
003104,LA CONCORDIA,5
002582,BELLA FLOR SUR,3
006303,LA ESPERANZA NORTE,3
007302,ALCAZARES,10
002442,SANTA VIVIANA,5
002587,BRISAS DEL VOLADOR,9
002583,QUIBA URBANO,7
006409,BELEN FONTIBON,5
101110,PARAMO I RURAL,10
002580,BELLA FLOR,1
005510,EL LAUREL,7
002564,EL MINUTO DE MARIA,3
002578,ARABIA,5
008403,LA CAROLINA,9
002607,LA ESPERANZA SUR,10
007401,POLO CLUB,9
008308,EL CHICO,7
005305,LA PATRIA,3
006417,VILLA CARMENZA,10
005605,EL ENCANTO,1
005205,SIMON BOLIVAR,8
006301,SANTA CECILIA,1
105104,EL TINTAL,1
006520,ZONA FRANCA,2
009116,PRADO VERANIEGO NORTE,4
008512,CEDRITOS,8
005657,SABANA DEL DORADO,2
003210,RAMIREZ,1
002529,MARICHUELA,9
002532,QUINTAS DEL SUR,5
004403,AUTOPISTA MUZU,2
005109,CENTRO ADMINISTRATIVO OCC.,1
002586,YOMASA NORTE,1
105403,EL CHANCO RURAL III,5
006420,LA GIRALDA,0
005201,JORGE ELIECER GAITAN,0
009242,TUNA BAJA,3
008514,EL CONTADOR,6
005114,CAMPO EUCARISTICO,10
106201,EL PANTANO,0
009255,SANTA RITA DE SUBA,2
009259,BERLIN,1
009229,TOSCANA,8
002630,EL PORTAL DEL DIVINO,1
005106,NICOLAS DE FEDERMAN,9
009212,SUBA URBANO,4
002585,EL MOCHUELO URBANO,3
006522,EL TINTAL II,7
001340,TIHUAQUE,4
001344,LOS SOCHES,4
002102,SAN ANTONIO,8
001334,LAS GAVIOTAS,6
208108,SAN ISIDRO RURAL,8
003205,EL GUAVIO,9
001413,LA RESURRECCION,10
004583,ARGELIA II,0
001426,SAN LUIS,6
004557,GRAN BRITALIA,3
005661,LUIS CARLOS GALAN,9
004561,EL JARDIN,6
004506,LA CAMPINA,8
004556,GRAN BRITALIA I,7
005627,GARCES NAVAS,1
002422,ATLANTA,10
002579,VILLA CANDELARIA,6
002526,SANTA LIBRADA,4
009221,LA CHUCUA,2
208104,PARAMO URBANO,8
002429,MARIA CANO,1
009258,CASA BLANCA SUBA I,5
009224,NUEVA TIBABUYES,8
002430,LAS BRISAS,5
001335,VILLA DIANA,5
006320,CIUDAD HAYUELOS,7
007403,SAN FELIPE,10
001305,ATENAS,8
001429,GUIPARMA,8
002606,EL CURUBO,0
002441,LOS TRES REYES I,7
001356,VILLA DEL CERRO,9
102412,TOCAIMITA SUR,7
004304,GALAN,7
001435,LOS ARRAYANES II,9
002419,RINCON DE LA VALVANERA,2
002423,ESPINO,0
002608,EL BOSQUE CENTRAL I,2
004566,PATIO BONITO III,3
006403,SAN JOSE DE FONTIBON,8
