fips,unemp
008109,8
001401,8
001207,8
204128,8
006105,9
004524,1
009216,2
005508,3
002609,3
006509,0
004554,5
009241,0
002542,9
009267,4
002571,7
004101,7
004302,1
002418,1
208107,2
002307,0
002636,5
004402,0
002447,6
108108,6
008517,7
201309,5
005635,5
008413,5
004588,9
004405,2
002556,8
002201,10
008541,0
108110,9
002569,9
006534,1
009203,5
005105,10
004534,2
009142,0
201105,9
006407,5
007402,7
008310,7
008510,10
009223,6
008411,7
006416,6
109109,6
006106,2
107109,7
004207,2
102602,2
008417,4
006311,2
002550,2
004570,10
005684,1
002533,3
004516,4
004205,9
004413,5
002308,2
002424,2
002528,9
008214,2
005103,2
002634,6
002438,8
002577,2
005655,2
004109,5
004630,7
202502,10
208110,5
002410,5
002311,3
002304,3
007404,8
007301,2
205401,7
005207,3
004582,1
008515,5
006203,9
004559,6
007209,10
002421,6
004525,4
008518,7
002594,10
005648,5
005639,2
004406,8
105103,5
009220,3
006404,3
005306,1
004509,6
102506,9
002622,7
204304,3
008215,6
009134,8
004550,5
002575,0
001318,8
005612,7
005608,1
005625,6
005638,1
005636,0
006533,9
009210,5
009114,1
009253,0
009225,10
006503,1
008106,9
007308,0
204129,2
105105,1
004409,5
002507,7
002610,8
009133,9
205101,6
004505,9
001427,10
105203,6
004555,8
002602,3
004521,10
004545,2
008415,2
004579,6
005401,4
005680,8
004519,4
004546,7
008304,8
007103,6
005406,9
006201,5
006521,4
007406,7
006415,3
006423,7
001432,5
008303,4
008410,2
001115,6
005663,2
201108,9
004587,5
001104,0
002534,5
002558,9
005304,3
105401,10
008409,8
002637,3
006531,6
005683,10
005308,10
205221,9
004598,10
002548,9
003207,3
007101,8
009207,4
004599,9
004597,0
205102,4
002619,1
001306,8
001110,4
005102,5
008418,7
008506,1
009206,8
001203,0
004607,8
005601,3
001106,0
001111,2
202203,4
001434,2
001317,8
005117,3
009265,8
002545,5
002627,0
004612,8
004626,9
002625,6
004601,10
001107,8
002437,7
002544,4
009213,2
004614,5
002461,3
008211,4
008206,4
004596,3
004542,6
004567,10
009219,0
002509,5
001357,5
209104,2
002541,1
002593,3
005405,0
001319,10
008213,0
006217,10
005108,7
105318,7
008513,7
009102,10
002536,3
107110,3
008544,3
108102,5
107107,3
004528,7
002584,10
004544,3
004618,8
002513,2
001204,3
009101,1
009252,7
009251,10
006506,6
008537,3
001350,2
002560,4
001408,9
005603,1
001421,9
004526,5
009247,1
001103,3
001304,9
001416,6
001430,7
007202,5
005668,4
001109,10
009231,6
006514,9
006508,9
102604,7
004538,2
004543,6
004603,1
004517,4
002456,0
009136,7
009135,8
006109,2
102116,0
009126,5
008107,8
004620,6
004202,6
004578,4
008317,2
004520,6
005204,3
002546,9
004310,4
002309,9
004604,1
001322,0
004589,9
002502,1
005630,1
001337,2
008547,6
008425,9
104127,3
009214,4
004108,4
005649,0
004562,6
006104,0
004303,3
004412,2
003106,0
002588,8
004515,2
006211,7
001355,3
007206,1
004201,4
008426,7
009129,6
004623,5
205322,3
008526,10
008407,4
004611,7
001402,2
001330,10
002411,3
002612,10
008201,5
006207,9
001307,2
009120,5
101302,9
008207,9
001321,4
001346,3
009130,2
002504,7
002540,5
001333,3
006216,10
003208,3
001332,0
105210,6
002611,5
006405,9
004580,5
004539,1
002628,0
003209,0
002631,0
006107,6
008108,8
007105,2
001311,1
002551,2
006316,6
005624,8
004621,9
006414,10
008302,6
006515,10
001412,8
008218,3
008208,4
009266,0
005644,5
004584,9
002554,2
001403,3
002435,7
001410,5
002503,1
008416,1
009233,5
001422,8
009127,6
007305,8
008319,2
007309,3
104130,9
006413,0
009107,3
006308,6
002563,2
008114,4
002566,9
002407,6
008111,2
006101,1
002559,7
004307,5
008102,8
006205,2
006512,7
001211,9
002436,2
002408,6
006502,3
002531,0
002521,10
002516,1
002635,3
002416,9
005403,2
208111,0
001328,8
007204,2
004558,7
002520,4
004605,4
002565,1
002511,0
205209,4
009226,9
009245,5
002538,7
009234,10
001315,0
009261,10
009215,9
009217,5
005116,1
003211,1
002581,1
003201,5
002204,9
004634,3
004106,4
001205,3
002573,4
004628,1
001342,8
001414,2
001404,4
004624,5
002530,4
004632,8
002592,1
002460,1
009123,3
002523,5
002517,6
004593,3
001314,6
007107,7
008112,10
006210,2
001313,7
008535,1
002589,8
009122,0
009113,3
008521,9
008542,1
008527,0
006218,3
005666,6
001420,2
004635,4
001308,6
002553,10
002539,5
004568,4
002549,3
002525,9
103104,10
103109,3
001419,3
004625,2
001348,4
004316,4
004627,9
004631,0
105223,6
004622,8
004637,9
004642,7
004594,4
004633,9
006518,10
004551,8
203106,6
004643,5
004502,10
001431,9
006516,2
008220,3
009227,1
004573,10
008412,4
004602,3
009211,4
005647,2
002590,1
009262,7
009132,7
205318,2
001113,6
004577,0
009128,10
002552,6
009103,1
002512,7
105325,7
008503,2
009244,3
004590,7
208203,3
101307,8
008202,4
008511,5
008502,0
009235,1
005654,6
008509,9
108111,2
008536,0
201305,6
002445,3
008414,2
002426,10
009204,0
006103,10
004552,5
003203,1
005637,9
004547,7
005634,3
002633,8
006519,0
004203,8
003212,2
005643,2
002449,9
008508,0
005623,3
004522,4
009237,6
003206,3
008104,6
004110,6
002514,6
003104,1
002582,8
006303,3
007302,0
002442,9
002587,6
002583,7
006409,6
101110,10
002580,5
005510,1
002564,10
002578,1
008403,6
002607,8
007401,8
008308,2
005305,1
006417,10
005605,7
005205,0
006301,4
105104,3
006520,2
009116,1
008512,10
005657,4
003210,9
002529,10
002532,2
004403,8
005109,0
002586,0
105403,8
006420,9
005201,5
009242,8
008514,9
005114,3
106201,6
009255,7
009259,1
009229,2
002630,1
005106,5
009212,10
002585,7
006522,3
001340,6
001344,6
002102,10
001334,0
208108,1
003205,10
001413,0
004583,7
001426,5
004557,9
005661,6
004561,7
004506,8
004556,6
005627,9
002422,9
002579,0
002526,8
009221,1
208104,4
002429,10
009258,8
009224,6
002430,7
001335,10
006320,3
007403,8
001305,2
001429,8
002606,10
002441,5
001356,6
102412,3
004304,1
001435,5
002419,10
002423,3
002608,1
004566,5
006403,5
002591,8
002576,1
005611,4
202601,6
001411,3
001310,4
001112,4
006525,5
008103,1
006108,6
107102,2
008305,2
005672,5
004514,10
005641,7
009254,0
008516,10
005628,3
008204,0
006507,5
006307,6
008203,3
202410,7
002537,10
201304,0
002205,0
003202,8
002601,4
002203,8
002306,3
008543,6
006418,8
006411,8
009205,9
008402,5
107112,3
002105,1
002303,1
002310,0
005667,4
009117,9
006212,5
004532,2
002618,6
001345,9
006401,5
002518,3
008540,8
102603,8
004401,2
004549,4
002629,6
006523,0
008422,3
009249,5
002527,10
006517,1
001347,6
009110,10
008538,6
102211,6
001425,1
001406,6
009139,2
006510,5
006501,0
004510,4
008307,9
202204,0
002107,4
004309,1
002305,10
004501,8
003110,0
008520,2
004565,0
008533,5
001309,2
008545,9
003103,2
002302,6
002104,9
005652,10
002626,0
002604,0
001327,3
002642,10
002535,2
004107,6
002103,6
001415,3
004553,6
108113,4
009124,5
009202,9
002417,2
008532,10
002561,7
002448,5
002501,4
102407,0
102312,0
002439,2
002420,4
002427,1
104119,8
005679,8
003215,5
005307,0
001409,9
004518,8
001407,4
002434,3
001428,1
008401,10
002615,4
005104,2
007310,3
005203,3
005112,4
006505,3
008406,6
002613,2
202511,10
205319,1
102601,3
001302,5
001316,8
002414,3
001101,8
008316,2
009118,10
002412,9
005675,9
004529,4
002519,2
008301,1
005604,9
006319,5
002640,6
008504,4
006313,1
007312,4
004306,8
002597,10
009248,2
002547,7
002431,5
009222,8
007201,3
005650,9
002543,5
002432,3
004530,1
205225,9
005669,0
104118,10
002621,7
001312,7
005629,3
201302,8
002404,8
005310,0
001301,10
002403,2
002405,10
008408,4
004536,10
002632,1
207801,10
201306,7
002617,7
002402,8
003105,6
008312,4
008311,8
001210,9
102406,5
004523,1
002401,2
008405,6
002614,4
009109,1
002524,0
004616,9
008505,4
008519,4
102309,0
009257,1
002616,4
101308,4
005664,0
005502,2
009256,10
103103,7
002443,2
001324,3
004204,9
002451,10
004404,6
009230,3
004595,1
009236,3
001362,5
009106,7
005115,5
006110,7
007106,7
204131,3
002415,4
001209,8
001208,5
102401,5
004581,6
002450,1
004210,8
005504,3
004211,8
002433,0
004535,7
003204,10
008420,2
106301,0
001336,6
009111,0
009238,1
002301,9
002574,10
002409,7
002455,4
005617,10
008404,10
006402,0
001339,7
004563,0
004533,3
004504,5
009108,1
005662,5
009263,2
005640,6
005402,4
005101,2
006209,7
006206,9
005626,4
001325,10
108114,10
005665,7
002595,9
002413,2
002605,4
001354,4
001338,9
008110,0
009218,2
002446,2
002562,10
002428,10
002557,7
004513,1
002453,1
002515,3
008205,9
001358,2
009115,9
005616,3
005614,4
008221,8
005606,8
005613,10
005610,7
009112,9
201503,6
005621,4
